Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-64dirVARIANTNumVolumes_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__27,acquisition-64dir_datatype-dwi_suffix-dwi,27,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,120.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__28,acquisition-64dir_datatype-dwi_suffix-dwi,28,1,104.0,104.0,5649.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTNumVolumes_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__29,acquisition-64dir_datatype-dwi_suffix-dwi,29,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,97.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__30,acquisition-64dir_datatype-dwi_suffix-dwi,30,1,104.0,104.0,6373.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeNumVolumesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__31,acquisition-64dir_datatype-dwi_suffix-dwi,31,1,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,22.0,False,,0.75,j-,4.5,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__32,acquisition-64dir_datatype-dwi_suffix-dwi,32,1,104.0,104.0,9126.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeNumVolumesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__33,acquisition-64dir_datatype-dwi_suffix-dwi,33,1,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,96.0,False,,0.75,j-,4.5,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeNumVolumesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__34,acquisition-64dir_datatype-dwi_suffix-dwi,34,1,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,44.0,False,,0.75,j-,4.5,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__35,acquisition-64dir_datatype-dwi_suffix-dwi,35,1,96.0,96.0,72.0,0.095,0.00074,90.0,False,3.0,72,129.0,False,,0.75,j-,4.5,0.07,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__36,acquisition-64dir_datatype-dwi_suffix-dwi,36,1,104.0,104.0,6201.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
