Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-HCP_datatype-anat_suffix-T1w__11,acquisition-HCP_datatype-anat_suffix-T1w,11,1,20.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__1,acquisition-HCP_datatype-anat_suffix-T2w,1,388,224.0,320.0,320.0,6.5e-06,0.564,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__2,acquisition-HCP_datatype-anat_suffix-T2w,2,371,224.0,320.0,320.0,2.1e-06,0.565,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__3,acquisition-HCP_datatype-anat_suffix-T2w,3,48,224.0,320.0,320.0,2.1e-06,0.567,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__4,acquisition-HCP_datatype-anat_suffix-T2w,4,44,256.0,320.0,320.0,2.1e-06,0.564,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.7,0.7,0.7
,,,,acquisition-HCP_datatype-anat_suffix-T2w__5,acquisition-HCP_datatype-anat_suffix-T2w,5,16,224.0,320.0,320.0,2.1e-06,0.566,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__6,acquisition-HCP_datatype-anat_suffix-T2w,6,13,224.0,320.0,320.0,2.1e-06,0.564,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__7,acquisition-HCP_datatype-anat_suffix-T2w,7,2,320.0,320.0,224.0,2.1e-06,0.567,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__8,acquisition-HCP_datatype-anat_suffix-T2w,8,1,202.0,320.0,320.0,6.5e-06,0.564,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T2w__9,acquisition-HCP_datatype-anat_suffix-T2w,9,1,256.0,320.0,320.0,2.1e-06,0.564,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.7,0.75,0.75
,,,,acquisition-HCP_datatype-anat_suffix-T2w__10,acquisition-HCP_datatype-anat_suffix-T2w,10,1,256.0,320.0,320.0,2.1e-06,0.564,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.7,0.8,0.8
,,,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,1,127,176.0,256.0,256.0,8.1e-06,0.00288,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,2,2,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,1,127,176.0,256.0,256.0,8.1e-06,0.00288,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,2,1,,,,,,,,,,,,,,,,0,,,,,,,,,,
