Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-VARIANTVoxelSizeDim3_datatype-fmap_fmap-phase2_suffix-phase2,datatype-fmap_fmap-phase2_suffix-phase2__3,datatype-fmap_fmap-phase2_suffix-phase2,3,2,64,64,46,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,3.0
,,,acquisition-VARIANTVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-phase2_suffix-phase2,datatype-fmap_fmap-phase2_suffix-phase2__4,datatype-fmap_fmap-phase2_suffix-phase2,4,2,64,64,46,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.0,3.0,3.0
,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-phase2_suffix-phase2,datatype-fmap_fmap-phase2_suffix-phase2__5,datatype-fmap_fmap-phase2_suffix-phase2,5,1,64,64,44,0.005,,60,FALSE,1513,fmap,0,1.0,TRUE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,,datatype-func_suffix-bold_task-frac2back__1,datatype-func_suffix-bold_task-frac2back,1,1420,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,231.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__2,datatype-func_suffix-bold_task-frac2back,2,37,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,231.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__3,datatype-func_suffix-bold_task-frac2back,3,4,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,210.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__4,datatype-func_suffix-bold_task-frac2back,4,3,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,193.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__5,datatype-func_suffix-bold_task-frac2back,5,3,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,208.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumesNoFmap_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__6,datatype-func_suffix-bold_task-frac2back,6,2,64,64,46,0.032,0.00055,90,FALSE,1529,func,46,180.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__7,datatype-func_suffix-bold_task-frac2back,7,2,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,186.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-frac2back__8,datatype-func_suffix-bold_task-frac2back,8,2,64,64,46,0.032,0.00055,90,TRUE,1529,func,46,113.0,FALSE,,1.0,j-,3.0,0.035,FALSE,3.0,3.0,3.0
