Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-phase1_suffix-phase1__1,acquisition-VARIANTObliquity_datatype-fmap_fmap-phase1_suffix-phase1,1,1,64,64,44,0.003,,60,False,1,fmap,0,1.0,True,,1.0,j-,1.0,,True,3.75,3.75,4.0
,,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-phase2_suffix-phase2__1,acquisition-VARIANTObliquity_datatype-fmap_fmap-phase2_suffix-phase2,1,1,64,64,44,0.005,,60,False,1,fmap,0,1.0,True,,1.0,j-,1.0,,True,3.75,3.75,4.0
,,,,datatype-func_suffix-bold_task-idemo__1,datatype-func_suffix-bold_task-idemo,1,1457,64,64,46,0.032,0.00055,90,True,1457,func,46,210.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,datatype-func_suffix-bold_task-frac2back__1,datatype-func_suffix-bold_task-frac2back,1,1420,64,64,46,0.032,0.00055,90,True,1420,func,46,231.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-singleband_datatype-func_suffix-bold_task-rest__1,acquisition-singleband_datatype-func_suffix-bold_task-rest,1,1375,64,64,46,0.032,0.00055,90,True,1375,func,46,124.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-100_datatype-func_suffix-bold_task-rest__1,acquisition-100_datatype-func_suffix-bold_task-rest,1,75,64,64,46,0.032,0.00055,90,True,75,func,46,100.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__1,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,1,4,64,64,46,0.032,0.00055,90,True,61,func,46,210.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__2,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,2,3,64,64,46,0.032,0.00055,90,True,61,func,46,208.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__3,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,3,3,64,64,46,0.032,0.00055,90,True,61,func,46,193.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__4,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,4,2,64,64,46,0.032,0.00055,90,True,61,func,46,126.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__5,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,5,2,64,64,46,0.032,0.00055,90,True,61,func,46,113.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__6,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,6,2,64,64,46,0.032,0.00055,90,True,61,func,46,89.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__7,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,7,2,64,64,46,0.032,0.00055,90,True,61,func,46,186.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__8,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,8,1,64,64,46,0.032,0.00055,90,True,61,func,46,140.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__9,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,9,1,64,64,46,0.032,0.00055,90,True,61,func,46,88.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__10,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,10,1,64,64,46,0.032,0.00055,90,True,61,func,46,175.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__11,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,11,1,64,64,46,0.032,0.00055,90,True,61,func,46,157.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__12,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,12,1,64,64,46,0.032,0.00055,90,True,61,func,46,78.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__13,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,13,1,64,64,46,0.032,0.00055,90,True,61,func,46,76.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__14,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,14,1,64,64,46,0.032,0.00055,90,True,61,func,46,108.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__15,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,15,1,64,64,46,0.032,0.00055,90,True,61,func,46,183.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__16,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,16,1,64,64,46,0.032,0.00055,90,True,61,func,46,200.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__17,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,17,1,64,64,46,0.032,0.00055,90,True,61,func,46,191.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__18,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,18,1,64,64,46,0.032,0.00055,90,True,61,func,46,187.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__19,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,19,1,64,64,46,0.032,0.00055,90,True,61,func,46,156.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__20,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,20,1,64,64,46,0.032,0.00055,90,True,61,func,46,101.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__21,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,21,1,64,64,46,0.032,0.00055,90,True,61,func,46,205.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__22,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,22,1,64,64,46,0.032,0.00055,90,True,61,func,46,180.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__23,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,23,1,64,64,46,0.032,0.00055,90,True,61,func,46,218.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
,,,,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back__24,acquisition-VARIANTNumVolumes_datatype-func_suffix-bold_task-frac2back,24,1,64,64,46,0.032,0.00055,90,True,61,func,46,225.0,False,,1.0,j-,3.0,0.035,False,3.0,3.0,3.0
