Notes,ManualCheck,RenameKeyGroup,MergeInto,KeyGroup,ParamGroup,Counts,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,IntendedForKey07,NSliceTimes,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,9,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,10,3,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.8,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,11,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.2,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,12,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.8,0.0338665
wrong slice times,1,,,datatype-dwi_run-1_suffix-dwi,13,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,3,0.75,j-,8.1,0.0338665
"no field map, dwell time",1,,,datatype-dwi_run-1_suffix-dwi,14,2,1.8E-06,0.082,0.000266666,,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
"tr, te ",,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,15,1,,0.102,0.000799969,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,,0.75,j-,12.3,0.101596
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,16,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.4,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,17,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,18,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,19,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.2,0.0338665
"tr, dwell time",,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,20,1,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-1_suffix-dwi,21,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.6,0.0338665
dominant group,,,,datatype-dwi_run-2_suffix-dwi,1,1352,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,2,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.4,0.0338665
phasedif field map,,,,datatype-dwi_run-2_suffix-dwi,3,15,,0.082,0.000266666,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,4,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9,0.0338665
"phasedif, dwell time",,,,datatype-dwi_run-2_suffix-dwi,5,2,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phasediff_suffix-phasediff,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
dwell time,,,,datatype-dwi_run-2_suffix-dwi,6,19,1.8E-06,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
no field map,1,,,datatype-dwi_run-2_suffix-dwi,7,11,,0.082,0.000266666,,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,8,4,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.5,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,9,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,10,3,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.8,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,11,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,8.2,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,12,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.8,0.0338665
wrong slice times,1,,,datatype-dwi_run-2_suffix-dwi,13,2,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,46,3,0.75,j-,8.1,0.0338665
no field map,1,,,datatype-dwi_run-2_suffix-dwi,14,2,1.8E-06,0.082,0.000266666,,90,,,,,,,,,70,3,0.75,j-,8.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,15,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.1,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,16,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.3,0.0338665
tr,,acquisition-VariantTr_datatype-dwi_run-1_suffix-dwi,,datatype-dwi_run-2_suffix-dwi,17,1,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,,,70,3,0.75,j-,9.2,0.0338665
