Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-dwi_run-1_suffix-dwi__16,datatype-dwi_run-1_suffix-dwi,16,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.4,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__17,datatype-dwi_run-1_suffix-dwi,17,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,6.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__18,datatype-dwi_run-1_suffix-dwi,18,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,33.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__19,datatype-dwi_run-1_suffix-dwi,19,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,21.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__20,datatype-dwi_run-1_suffix-dwi,20,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,True,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__21,datatype-dwi_run-1_suffix-dwi,21,1,128,128,70,,0.082,0.000266666,,90,,,,,,,70,7.0,False,3.0,0.75,j-,8.1,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__22,datatype-dwi_run-1_suffix-dwi,22,1,128,128,70,,0.102,0.000799969,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,,0.75,j-,12.3,0.101596,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__23,datatype-dwi_run-1_suffix-dwi,23,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,8.4,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__24,datatype-dwi_run-1_suffix-dwi,24,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.8,0.0338665,1.875,1.875,2.0
,,,,datatype-dwi_run-1_suffix-dwi__25,datatype-dwi_run-1_suffix-dwi,25,1,128,128,70,,0.082,0.000266666,datatype-fmap_fmap-phase1_suffix-phase1,90,,,,,,,70,35.0,False,3.0,0.75,j-,9.0,0.0338665,1.875,1.875,2.0
