image_file,ave_score
NDARBK638HLZ_VNavNorm_S1,0.833333333333333
NDARBK638HLZ_VNavNorm_S2,0.333333333333333
NDARBK638HLZ_VNavNorm_S3,1
NDARBL214YLX_HCP_A1,0
NDARBL214YLX_HCP_A2,0.166666666666667
NDARBL214YLX_HCP_A3,0
NDARBL214YLX_HCP_S1,0
NDARBL214YLX_HCP_S2,0
NDARBL214YLX_HCP_S3,0
NDARBL214YLX_VNavNorm_A1,0.333333333333333
NDARBL214YLX_VNavNorm_A2,0.833333333333333
NDARBL214YLX_VNavNorm_A3,1
NDARBL214YLX_VNavNorm_S1,0.833333333333333
NDARBL214YLX_VNavNorm_S2,0.5
NDARBL214YLX_VNavNorm_S3,0.833333333333333
NDARBN365EV3_HCP_A1,0.833333333333333
NDARBN365EV3_HCP_A2,0.666666666666667
NDARBN365EV3_HCP_A3,0.833333333333333
NDARBN365EV3_HCP_S1,1
NDARBN365EV3_HCP_S2,0.333333333333333
NDARBN365EV3_HCP_S3,0.666666666666667
NDARBN365EV3_VNavNorm_A1,0.5
NDARBN365EV3_VNavNorm_A2,0.833333333333333
NDARBN365EV3_VNavNorm_A3,1
NDARBN365EV3_VNavNorm_S1,1
NDARBN365EV3_VNavNorm_S2,0.666666666666667
NDARBN365EV3_VNavNorm_S3,0.666666666666667
NDARBP770MUM_HCP_A1,0.666666666666667
NDARBP770MUM_HCP_A2,0.166666666666667
NDARBP770MUM_HCP_A3,1
NDARBP770MUM_HCP_S1,0.666666666666667
NDARBP770MUM_HCP_S2,0.5
NDARBP770MUM_HCP_S3,0.5
NDARBP770MUM_VNavNorm_A1,0.333333333333333
NDARBP770MUM_VNavNorm_A2,0.666666666666667
NDARBP770MUM_VNavNorm_A3,1
NDARBP770MUM_VNavNorm_S1,1
NDARBP770MUM_VNavNorm_S2,0.5
NDARBP770MUM_VNavNorm_S3,0.666666666666667
NDARBR128UFP_HCP_A1,0.166666666666667
NDARBR128UFP_HCP_A2,0.166666666666667
NDARBR128UFP_HCP_A3,0.166666666666667
NDARBR128UFP_HCP_S1,0
NDARBR128UFP_HCP_S2,0
NDARBR128UFP_HCP_S3,0
NDARBR128UFP_VNavNorm_A1,0
NDARBR128UFP_VNavNorm_A2,0.5
NDARBR128UFP_VNavNorm_A3,0.666666666666667
NDARBR128UFP_VNavNorm_S1,0.666666666666667
NDARBR128UFP_VNavNorm_S2,0.166666666666667
NDARBR128UFP_VNavNorm_S3,0.5
NDARBU098PJT_HCP_A1,0.166666666666667
NDARBU098PJT_HCP_A2,0
NDARBU098PJT_HCP_A3,0.166666666666667
NDARBU098PJT_HCP_S1,0
NDARBU098PJT_HCP_S2,0
NDARBU098PJT_HCP_S3,0
NDARBU098PJT_VNavNorm_A1,0.166666666666667
NDARBU098PJT_VNavNorm_A2,0.666666666666667
NDARBU098PJT_VNavNorm_A3,0.833333333333333
NDARBU098PJT_VNavNorm_S1,0.666666666666667
NDARBU098PJT_VNavNorm_S2,0.5
NDARBU098PJT_VNavNorm_S3,0.166666666666667
NDARBV167RMU_HCP_A1,0.166666666666667
NDARBV167RMU_HCP_A2,0.666666666666667
NDARBV167RMU_HCP_A3,0.833333333333333
NDARBV167RMU_HCP_S1,0.5
NDARBV167RMU_HCP_S2,0.833333333333333
NDARBV167RMU_HCP_S3,0.666666666666667
NDARBV167RMU_VNavNorm_A1,0.833333333333333
NDARBV167RMU_VNavNorm_A2,0.666666666666667
NDARBV167RMU_VNavNorm_A3,1
NDARBV167RMU_VNavNorm_S1,1
NDARBV167RMU_VNavNorm_S2,0.5
NDARBV167RMU_VNavNorm_S3,0.666666666666667
NDARBX830ZD4_HCP_A1,0.166666666666667
NDARBX830ZD4_HCP_A2,0
NDARBX830ZD4_HCP_A3,0
NDARBX830ZD4_HCP_S1,0.166666666666667
NDARBX830ZD4_HCP_S2,0
NDARBX830ZD4_HCP_S3,0
NDARBX830ZD4_VNavNorm_A1,0.166666666666667
NDARBX830ZD4_VNavNorm_A2,0.166666666666667
NDARBX830ZD4_VNavNorm_A3,0
NDARBX830ZD4_VNavNorm_S1,0.166666666666667
NDARBX830ZD4_VNavNorm_S2,0
NDARBX830ZD4_VNavNorm_S3,0
NDARBZ913ZB9_HCP_A1,0
NDARBZ913ZB9_HCP_A2,0
NDARBZ913ZB9_HCP_A3,0
NDARBZ913ZB9_HCP_S1,0
NDARBZ913ZB9_HCP_S2,0
NDARBZ913ZB9_HCP_S3,0
NDARBZ913ZB9_VNavNorm_A1,0
NDARBZ913ZB9_VNavNorm_A2,0.166666666666667
NDARBZ913ZB9_VNavNorm_A3,0.666666666666667
NDARBZ913ZB9_VNavNorm_S1,0.5
NDARBZ913ZB9_VNavNorm_S2,0.166666666666667
NDARBZ913ZB9_VNavNorm_S3,0.5
NDARBZ925PRF_HCP1_A1,0.333333333333333
NDARBZ925PRF_HCP1_A2,1
NDARBZ925PRF_HCP1_A3,0.833333333333333
NDARBZ925PRF_HCP1_S1,0.666666666666667
NDARBZ925PRF_HCP1_S2,0.666666666666667
NDARBZ925PRF_HCP1_S3,0.833333333333333
NDARBZ925PRF_HCP2_A1,0.666666666666667
NDARBZ925PRF_HCP2_A2,0.833333333333333
NDARBZ925PRF_HCP2_A3,0.833333333333333
NDARBZ925PRF_HCP2_S1,0.833333333333333
NDARBZ925PRF_HCP2_S2,0.833333333333333
NDARBZ925PRF_HCP2_S3,0.666666666666667
NDARBZ925PRF_VNavNorm1_A1,0.5
NDARBZ925PRF_VNavNorm1_A2,1
NDARBZ925PRF_VNavNorm1_A3,1
NDARBZ925PRF_VNavNorm1_S1,0.833333333333333
NDARBZ925PRF_VNavNorm1_S2,0.833333333333333
NDARBZ925PRF_VNavNorm1_S3,1
NDARBZ925PRF_VNavNorm2_A1,0.666666666666667
NDARBZ925PRF_VNavNorm2_A2,0.666666666666667
NDARBZ925PRF_VNavNorm2_A3,1
NDARBZ925PRF_VNavNorm2_S1,1
NDARBZ925PRF_VNavNorm2_S2,0.666666666666667
NDARBZ925PRF_VNavNorm2_S3,1
NDARCC340ER5_HCP_A1,0.666666666666667
NDARCC340ER5_HCP_A2,0.666666666666667
NDARCC340ER5_HCP_A3,0.833333333333333
NDARCC340ER5_HCP_S1,0.666666666666667
NDARCC340ER5_HCP_S2,0.666666666666667
NDARCC340ER5_HCP_S3,1
NDARCC340ER5_VNavNorm_A1,0.333333333333333
NDARCC340ER5_VNavNorm_A2,0.833333333333333
NDARCC340ER5_VNavNorm_A3,0.833333333333333
NDARCC340ER5_VNavNorm_S1,1
NDARCC340ER5_VNavNorm_S2,0.833333333333333
NDARCC340ER5_VNavNorm_S3,0.833333333333333
NDARCD296XU9_HCP1_A1,0.666666666666667
NDARCD296XU9_HCP1_A2,0.666666666666667
NDARCD296XU9_HCP1_A3,0.833333333333333
NDARCD296XU9_HCP1_S1,1
NDARCD296XU9_HCP1_S2,0.5
NDARCD296XU9_HCP1_S3,0.833333333333333
NDARCD296XU9_HCP2_A1,0.333333333333333
NDARCD296XU9_HCP2_A2,0
NDARCD296XU9_HCP2_A3,0.166666666666667
NDARCD296XU9_HCP2_S1,0
NDARCD296XU9_HCP2_S2,0.166666666666667
NDARCD296XU9_HCP2_S3,0
NDARCD296XU9_VNavNorm1_A1,0.166666666666667
NDARCD296XU9_VNavNorm1_A2,0.833333333333333
NDARCD296XU9_VNavNorm1_A3,1
NDARCD296XU9_VNavNorm1_S1,0.666666666666667
NDARCD296XU9_VNavNorm1_S2,0.5
NDARCD296XU9_VNavNorm1_S3,0.833333333333333
NDARCD296XU9_VNavNorm2_A1,0.333333333333333
NDARCD296XU9_VNavNorm2_A2,0.166666666666667
NDARCD296XU9_VNavNorm2_A3,1
NDARCD296XU9_VNavNorm2_S1,0.666666666666667
NDARCD296XU9_VNavNorm2_S2,0.5
NDARCD296XU9_VNavNorm2_S3,0.666666666666667
NDARCF052AE0_HCP_A1,0.333333333333333
NDARCF052AE0_HCP_A2,0.666666666666667
NDARCF052AE0_HCP_A3,1
NDARCF052AE0_HCP_S1,1
NDARCF052AE0_HCP_S2,0.5
NDARCF052AE0_HCP_S3,1
NDARCF052AE0_VNavNorm_A1,0.166666666666667
