Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteRU_suffix-dwi__1,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteRU_suffix-dwi,1,8,104,104,72,0.1,0.0004,90,True,8,dwi,,0,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteRU_suffix-dwi__1,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteRU_suffix-dwi,1,5,104,104,72,0.1,0.0004,90,False,5,dwi,,0,129.0,True,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dirVARIANTDim3SizeVoxelSizeDim3_datatype-dwi_session-HBNsiteCUNY_suffix-dwi__1,acquisition-64dirVARIANTDim3SizeVoxelSizeDim3_datatype-dwi_session-HBNsiteCUNY_suffix-dwi,1,4,104,104,60,0.1,0.0004,90,True,4,dwi,3.0,60,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,2.4
,,,,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,3,104,104,72,0.1,0.0004,90,False,3,dwi,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteCUNY_suffix-dwi__1,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteCUNY_suffix-dwi,1,3,104,104,72,0.1,0.0004,90,True,3,dwi,3.0,72,129.0,True,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteSI_suffix-dwi__1,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteSI_suffix-dwi,1,2,96,96,72,0.094,0.0007,90,False,2,dwi,3.0,72,129.0,False,,0.75,j-,4.5,0.07,False,2.0,2.0,2.0
,,,,acquisition-ABCD64dirVARIANTHasFmap_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-ABCD64dirVARIANTHasFmap_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,2,140,140,81,0.089,0.0007,90,True,2,dwi,,0,129.0,False,,0.75,j-,4.1,0.09,False,1.714,1.714,1.7
,,,,acquisition-64dirVARIANTEchoTime_datatype-dwi_session-HBNsiteSI_suffix-dwi__1,acquisition-64dirVARIANTEchoTime_datatype-dwi_session-HBNsiteSI_suffix-dwi,1,1,96,96,72,0.095,0.0007,90,True,1,dwi,3.0,72,129.0,False,,0.75,j-,4.5,0.07,False,2.0,2.0,2.0
,,,,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteCUNY_suffix-dwi__1,acquisition-64dirVARIANTNoFmap_datatype-dwi_session-HBNsiteCUNY_suffix-dwi,1,1,104,104,72,0.1,0.0004,90,False,1,dwi,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dirVARIANTPhaseEncodingDirection_datatype-dwi_session-HBNsiteRU_suffix-dwi__1,acquisition-64dirVARIANTPhaseEncodingDirection_datatype-dwi_session-HBNsiteRU_suffix-dwi,1,1,104,104,72,0.1,0.0004,90,True,1,dwi,,0,129.0,True,2.0,1.0,i,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dirVARIANTVoxelSizeDim1VoxelSizeDim2_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-64dirVARIANTVoxelSizeDim1VoxelSizeDim2_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,1,104,104,72,0.1,0.0004,90,True,1,dwi,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.827,1.827,1.8
